                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7196,                 3.5289,                 1.6841,                0.27295,                0.23982,                0.22017,                0.10226,                 1.8557,                 2.8569,                  1.749,              0.0033187,              0.0033187,              0.0033187
                      2,                 1.5999,                 2.5271,                 1.5432,                0.43724,                0.43862,                0.39763,                0.19572,                 1.6558,                 2.1262,                 1.6057,              0.0066301,              0.0066301,              0.0066301
                      3,                 1.6273,                 2.2058,                 1.5731,                0.38539,                0.49198,                0.40892,                0.20238,                 1.7481,                  2.484,                 1.7018,              0.0099195,              0.0099195,              0.0099195
                      4,                   1.67,                 2.0442,                  1.598,                 0.2431,                0.18912,                0.12734,                0.05529,                  2.135,                 3.2722,                 2.2106,               0.009901,               0.009901,               0.009901
                      5,                 1.6338,                 1.8429,                 1.5673,                0.55467,                0.46427,                0.49018,                0.24548,                 1.6668,                  1.796,                 1.5864,               0.009868,               0.009868,               0.009868
                      6,                  1.561,                 1.7012,                 1.5317,                0.67652,                0.61794,                0.68695,                0.36468,                 1.5563,                 1.4419,                 1.5427,               0.009835,               0.009835,               0.009835
                      7,                 1.5339,                 1.6057,                 1.5165,                0.77084,                0.66394,                0.73277,                0.38447,                 1.5131,                 1.3428,                 1.4929,               0.009802,               0.009802,               0.009802
                      8,                 1.5183,                  1.548,                 1.4999,                 0.7519,                0.60948,                0.71384,                0.37971,                 1.5337,                 1.3449,                 1.4864,               0.009769,               0.009769,               0.009769
                      9,                 1.4788,                  1.433,                 1.4651,                 0.7468,                0.68184,                0.72753,                0.39659,                 1.5554,                 1.3014,                 1.5099,               0.009736,               0.009736,               0.009736
                     10,                 1.4545,                  1.407,                 1.4496,                0.78951,                0.63923,                0.75012,                0.43769,                 1.4669,                  1.242,                 1.4295,               0.009703,               0.009703,               0.009703
                     11,                 1.4385,                 1.3637,                  1.433,                0.75818,                0.67471,                0.74415,                0.41557,                 1.4556,                 1.2331,                 1.4271,                0.00967,                0.00967,                0.00967
                     12,                 1.4429,                 1.3376,                 1.4276,                0.72429,                0.71315,                0.77199,                0.44504,                 1.4221,                 1.1782,                 1.3832,               0.009637,               0.009637,               0.009637
                     13,                 1.3915,                 1.2849,                 1.3928,                0.80045,                0.75264,                0.82705,                0.47703,                 1.4249,                  1.094,                 1.3823,               0.009604,               0.009604,               0.009604
                     14,                 1.3971,                 1.2862,                  1.404,                0.82318,                0.72007,                0.80508,                0.47038,                 1.4253,                 1.1132,                 1.3993,               0.009571,               0.009571,               0.009571
                     15,                 1.3607,                 1.2361,                 1.3846,                0.83235,                0.73897,                0.82544,                0.47168,                 1.4157,                 1.0408,                 1.4068,               0.009538,               0.009538,               0.009538
                     16,                 1.3639,                 1.2219,                 1.3702,                0.81245,                0.74852,                0.82093,                0.47937,                 1.3549,                 1.0821,                 1.3627,               0.009505,               0.009505,               0.009505
                     17,                 1.3455,                 1.1804,                 1.3693,                0.79369,                0.70836,                0.79948,                 0.4764,                 1.3875,                 1.0759,                 1.3816,               0.009472,               0.009472,               0.009472
                     18,                 1.3477,                 1.1966,                   1.36,                0.80033,                0.76998,                0.83733,                0.48984,                 1.3677,                0.99757,                 1.3491,               0.009439,               0.009439,               0.009439
                     19,                 1.3407,                  1.158,                 1.3566,                0.84264,                0.75147,                0.83524,                0.50195,                 1.3307,                 1.0402,                 1.3417,               0.009406,               0.009406,               0.009406
                     20,                 1.3063,                 1.1173,                 1.3326,                 0.8362,                0.74015,                0.83703,                0.49399,                 1.3606,                 1.0166,                  1.353,               0.009373,               0.009373,               0.009373
